# Isotope Spectrum Builder - bin metadata
# detector=NaI
# isotope=Cs-137
# n_bins=2048
# e_min_keV=0.0
# e_max_keV=2520.0
# normalization=raw
# acquisition_time_s=
# base_seed=42
# builder=Created by Dr K. Karafasoulis
# url=http://karafasoulis.eu
bin_index,e_low_keV,e_high_keV,e_center_keV,bin_width_keV
103,126.73828125,127.96875,127.353515625,1.23046875
104,127.96875,129.19921875,128.583984375,1.23046875
105,129.19921875,130.4296875,129.814453125,1.23046875
106,130.4296875,131.66015625,131.044921875,1.23046875
107,131.66015625,132.890625,132.275390625,1.23046875
108,132.890625,134.12109375,133.505859375,1.23046875
109,134.12109375,135.3515625,134.736328125,1.23046875
110,135.3515625,136.58203125,135.966796875,1.23046875
111,136.58203125,137.8125,137.197265625,1.23046875
112,137.8125,139.04296875,138.427734375,1.23046875
113,139.04296875,140.2734375,139.658203125,1.23046875
114,140.2734375,141.50390625,140.888671875,1.23046875
115,141.50390625,142.734375,142.119140625,1.23046875
116,142.734375,143.96484375,143.349609375,1.23046875
117,143.96484375,145.1953125,144.580078125,1.23046875
118,145.1953125,146.42578125,145.810546875,1.23046875
119,146.42578125,147.65625,147.041015625,1.23046875
120,147.65625,148.88671875,148.271484375,1.23046875
121,148.88671875,150.1171875,149.501953125,1.23046875
122,150.1171875,151.34765625,150.732421875,1.23046875
123,151.34765625,152.578125,151.962890625,1.23046875
124,152.578125,153.80859375,153.193359375,1.23046875
125,153.80859375,155.0390625,154.423828125,1.23046875
126,155.0390625,156.26953125,155.654296875,1.23046875
127,156.26953125,157.5,156.884765625,1.23046875
128,157.5,158.73046875,158.115234375,1.23046875
129,158.73046875,159.9609375,159.345703125,1.23046875
130,159.9609375,161.19140625,160.576171875,1.23046875
131,161.19140625,162.421875,161.806640625,1.23046875
132,162.421875,163.65234375,163.037109375,1.23046875
133,163.65234375,164.8828125,164.267578125,1.23046875
134,164.8828125,166.11328125,165.498046875,1.23046875
135,166.11328125,167.34375,166.728515625,1.23046875
136,167.34375,168.57421875,167.958984375,1.23046875
137,168.57421875,169.8046875,169.189453125,1.23046875
138,169.8046875,171.03515625,170.419921875,1.23046875
139,171.03515625,172.265625,171.650390625,1.23046875
140,172.265625,173.49609375,172.880859375,1.23046875
141,173.49609375,174.7265625,174.111328125,1.23046875
142,174.7265625,175.95703125,175.341796875,1.23046875
143,175.95703125,177.1875,176.572265625,1.23046875
144,177.1875,178.41796875,177.802734375,1.23046875
145,178.41796875,179.6484375,179.033203125,1.23046875
146,179.6484375,180.87890625,180.263671875,1.23046875
147,180.87890625,182.109375,181.494140625,1.23046875
148,182.109375,183.33984375,182.724609375,1.23046875
149,183.33984375,184.5703125,183.955078125,1.23046875
150,184.5703125,185.80078125,185.185546875,1.23046875
151,185.80078125,187.03125,186.416015625,1.23046875
152,187.03125,188.26171875,187.646484375,1.23046875
153,188.26171875,189.4921875,188.876953125,1.23046875
154,189.4921875,190.72265625,190.107421875,1.23046875
155,190.72265625,191.953125,191.337890625,1.23046875
156,191.953125,193.18359375,192.568359375,1.23046875
157,193.18359375,194.4140625,193.798828125,1.23046875
158,194.4140625,195.64453125,195.029296875,1.23046875
159,195.64453125,196.875,196.259765625,1.23046875
160,196.875,198.10546875,197.490234375,1.23046875
161,198.10546875,199.3359375,198.720703125,1.23046875
162,199.3359375,200.56640625,199.951171875,1.23046875
163,200.56640625,201.796875,201.181640625,1.23046875
164,201.796875,203.02734375,202.412109375,1.23046875
165,203.02734375,204.2578125,203.642578125,1.23046875
166,204.2578125,205.48828125,204.873046875,1.23046875
167,205.48828125,206.71875,206.103515625,1.23046875
168,206.71875,207.94921875,207.333984375,1.23046875
169,207.94921875,209.1796875,208.564453125,1.23046875
170,209.1796875,210.41015625,209.794921875,1.23046875
171,210.41015625,211.640625,211.025390625,1.23046875
172,211.640625,212.87109375,212.255859375,1.23046875
173,212.87109375,214.1015625,213.486328125,1.23046875
174,214.1015625,215.33203125,214.716796875,1.23046875
175,215.33203125,216.5625,215.947265625,1.23046875
176,216.5625,217.79296875,217.177734375,1.23046875
177,217.79296875,219.0234375,218.408203125,1.23046875
178,219.0234375,220.25390625,219.638671875,1.23046875
179,220.25390625,221.484375,220.869140625,1.23046875
180,221.484375,222.71484375,222.099609375,1.23046875
181,222.71484375,223.9453125,223.330078125,1.23046875
182,223.9453125,225.17578125,224.560546875,1.23046875
183,225.17578125,226.40625,225.791015625,1.23046875
184,226.40625,227.63671875,227.021484375,1.23046875
185,227.63671875,228.8671875,228.251953125,1.23046875
186,228.8671875,230.09765625,229.482421875,1.23046875
187,230.09765625,231.328125,230.712890625,1.23046875
188,231.328125,232.55859375,231.943359375,1.23046875
189,232.55859375,233.7890625,233.173828125,1.23046875
190,233.7890625,235.01953125,234.404296875,1.23046875
191,235.01953125,236.25,235.634765625,1.23046875
192,236.25,237.48046875,236.865234375,1.23046875
193,237.48046875,238.7109375,238.095703125,1.23046875
194,238.7109375,239.94140625,239.326171875,1.23046875
195,239.94140625,241.171875,240.556640625,1.23046875
196,241.171875,242.40234375,241.787109375,1.23046875
197,242.40234375,243.6328125,243.017578125,1.23046875
198,243.6328125,244.86328125,244.248046875,1.23046875
199,244.86328125,246.09375,245.478515625,1.23046875
200,246.09375,247.32421875,246.708984375,1.23046875
201,247.32421875,248.5546875,247.939453125,1.23046875
202,248.5546875,249.78515625,249.169921875,1.23046875
203,249.78515625,251.015625,250.400390625,1.23046875
204,251.015625,252.24609375,251.630859375,1.23046875
205,252.24609375,253.4765625,252.861328125,1.23046875
206,253.4765625,254.70703125,254.091796875,1.23046875
207,254.70703125,255.9375,255.322265625,1.23046875
208,255.9375,257.16796875,256.552734375,1.23046875
209,257.16796875,258.3984375,257.783203125,1.23046875
210,258.3984375,259.62890625,259.013671875,1.23046875
211,259.62890625,260.859375,260.244140625,1.23046875
212,260.859375,262.08984375,261.474609375,1.23046875
213,262.08984375,263.3203125,262.705078125,1.23046875
214,263.3203125,264.55078125,263.935546875,1.23046875
215,264.55078125,265.78125,265.166015625,1.23046875
216,265.78125,267.01171875,266.396484375,1.23046875
217,267.01171875,268.2421875,267.626953125,1.23046875
218,268.2421875,269.47265625,268.857421875,1.23046875
219,269.47265625,270.703125,270.087890625,1.23046875
220,270.703125,271.93359375,271.318359375,1.23046875
221,271.93359375,273.1640625,272.548828125,1.23046875
222,273.1640625,274.39453125,273.779296875,1.23046875
223,274.39453125,275.625,275.009765625,1.23046875
224,275.625,276.85546875,276.240234375,1.23046875
225,276.85546875,278.0859375,277.470703125,1.23046875
226,278.0859375,279.31640625,278.701171875,1.23046875
227,279.31640625,280.546875,279.931640625,1.23046875
228,280.546875,281.77734375,281.162109375,1.23046875
229,281.77734375,283.0078125,282.392578125,1.23046875
230,283.0078125,284.23828125,283.623046875,1.23046875
231,284.23828125,285.46875,284.853515625,1.23046875
232,285.46875,286.69921875,286.083984375,1.23046875
233,286.69921875,287.9296875,287.314453125,1.23046875
234,287.9296875,289.16015625,288.544921875,1.23046875
235,289.16015625,290.390625,289.775390625,1.23046875
236,290.390625,291.62109375,291.005859375,1.23046875
237,291.62109375,292.8515625,292.236328125,1.23046875
238,292.8515625,294.08203125,293.466796875,1.23046875
239,294.08203125,295.3125,294.697265625,1.23046875
240,295.3125,296.54296875,295.927734375,1.23046875
241,296.54296875,297.7734375,297.158203125,1.23046875
242,297.7734375,299.00390625,298.388671875,1.23046875
243,299.00390625,300.234375,299.619140625,1.23046875
244,300.234375,301.46484375,300.849609375,1.23046875
245,301.46484375,302.6953125,302.080078125,1.23046875
246,302.6953125,303.92578125,303.310546875,1.23046875
247,303.92578125,305.15625,304.541015625,1.23046875
248,305.15625,306.38671875,305.771484375,1.23046875
249,306.38671875,307.6171875,307.001953125,1.23046875
250,307.6171875,308.84765625,308.232421875,1.23046875
251,308.84765625,310.078125,309.462890625,1.23046875
252,310.078125,311.30859375,310.693359375,1.23046875
253,311.30859375,312.5390625,311.923828125,1.23046875
254,312.5390625,313.76953125,313.154296875,1.23046875
255,313.76953125,315.0,314.384765625,1.23046875
256,315.0,316.23046875,315.615234375,1.23046875
